transaction_id,transaction_date,transaction_time,product_id,product_name,product_category,unit_price,quantity_sold,quantity_returned,final_quantity,discount_percentage,revenue,branch_id,branch_name,branch_city,branch_region,employee_id,employee_name,employee_position,payment_method,customer_id,customer_name
23,2024-03-01,00:00:00,53,Pizza,Frozen Foods,28.9,3,0,3,0.16,86.7,5,Eastville,Miami,Southeast,5,Kevin Pacheco,Sales Associate,Mobile Payment,378.0,Anthony Humphrey
24,2024-03-09,00:00:00,43,Nuts,Snacks,48.87,3,0,3,0.02,146.61,4,Southcenter,Houston,South,8,Lindsey Roman,Stocker,Cash,,
25,2024-03-30,00:00:00,29,Cod,Seafood,9.76,5,0,5,0.17,48.8,2,Westside,Los Angeles,West,15,Nicholas Martin,Sales Associate,Credit Card,99.0,Angelica Tucker
26,2024-01-18,00:00:00,52,Fruit,Canned Goods,30.9,5,0,5,0.1,154.5,3,Northgate,Chicago,Midwest,9,Valerie Gray,Cashier,Gift Card,15.0,Philip Cannon
27,2024-05-28,00:00:00,15,Oranges,Produce,40.39,5,5,0,0.09,0.0,3,Northgate,Chicago,Midwest,6,Melissa Peterson,Sales Associate,Debit Card,262.0,John Pierce
28,2024-02-18,00:00:00,15,Oranges,Produce,44.39,5,4,1,0.0,44.39,4,Southcenter,Houston,South,19,Matthew Foster,Cashier,Gift Card,482.0,Shane Henderson
29,2024-01-18,00:00:00,26,Salmon,Seafood,23.64,6,0,6,0.13,141.84,3,Northgate,Chicago,Midwest,14,Timothy Wong,Cashier,Cash,,
30,2024-04-14,00:00:00,39,Wine,Beverages,12.3,6,0,6,0.06,73.8,5,Eastville,Miami,Southeast,10,Lisa Hensley,Stocker,Credit Card,341.0,Joshua Blair
31,2024-05-25,00:00:00,49,Tuna,Canned Goods,16.35,5,0,5,0.17,81.75,2,Westside,Los Angeles,West,20,Derek Wright,Stocker,Debit Card,221.0,Eric Carney
32,2024-04-23,00:00:00,42,Popcorn,Snacks,17.28,4,0,4,0.16,69.12,4,Southcenter,Houston,South,15,Nicholas Martin,Sales Associate,Credit Card,146.0,Jessica Holmes
33,2024-01-24,00:00:00,66,Lotion,Personal Care,16.2,4,0,4,0.04,64.8,5,Eastville,Miami,Southeast,11,Amber Perez,Assistant Manager,Credit Card,24.0,Danny Morgan
34,2024-01-19,00:00:00,32,Water,Beverages,35.19,8,0,8,0.13,281.52,4,Southcenter,Houston,South,20,Derek Wright,Stocker,Credit Card,,
35,2024-03-03,00:00:00,50,Corn,Canned Goods,26.93,3,0,3,0.0,80.79,4,Southcenter,Houston,South,13,Holly Wood,Cashier,Cash,,
36,2024-04-28,00:00:00,29,Cod,Seafood,9.64,1,0,1,0.18,9.64,2,Westside,Los Angeles,West,17,Crystal Johnson,Stocker,Cash,411.0,Crystal Robinson
37,2024-03-22,00:00:00,60,Detergent,Household,37.55,8,0,8,0.14,300.4,5,Eastville,Miami,Southeast,18,Daniel Hahn,Stocker,Gift Card,465.0,Mark Perez
38,2024-04-25,00:00:00,58,Paper Towels,Household,40.35,5,0,5,0.17,201.75,2,Westside,Los Angeles,West,16,Margaret Hawkins DDS,Sales Associate,Debit Card,,
39,2024-03-11,00:00:00,67,Razors,Personal Care,6.09,8,0,8,0.06,48.72,4,Southcenter,Houston,South,8,Lindsey Roman,Stocker,Debit Card,458.0,Shannon Jones
40,2024-02-29,00:00:00,11,Cake,Bakery,31.61,7,0,7,0.14,221.27,2,Westside,Los Angeles,West,5,Kevin Pacheco,Sales Associate,Cash,170.0,Michael Lewis
41,2024-02-22,00:00:00,60,Detergent,Household,37.11,7,0,7,0.15,259.77,4,Southcenter,Houston,South,2,Megan Mcclain,Cashier,Cash,,
42,2024-03-31,00:00:00,49,Tuna,Canned Goods,16.35,5,0,5,0.17,81.75,4,Southcenter,Houston,South,1,Allison Hill,Cashier,Mobile Payment,377.0,Timothy Duncan
43,2024-03-10,00:00:00,29,Cod,Seafood,10.82,7,0,7,0.08,75.74,4,Southcenter,Houston,South,8,Lindsey Roman,Stocker,Mobile Payment,,
44,2024-05-16,00:00:00,60,Detergent,Household,38.42,1,0,1,0.12,38.42,2,Westside,Los Angeles,West,20,Derek Wright,Stocker,Cash,220.0,Richard Aguirre
45,2024-01-13,00:00:00,18,Potatoes,Produce,37.32,5,0,5,0.04,186.6,4,Southcenter,Houston,South,6,Melissa Peterson,Sales Associate,Debit Card,451.0,Brent Jordan
46,2024-03-05,00:00:00,49,Tuna,Canned Goods,16.74,2,0,2,0.15,33.48,3,Northgate,Chicago,Midwest,14,Timothy Wong,Cashier,Cash,,
47,2024-01-11,00:00:00,45,Chocolate,Snacks,36.51,1,0,1,0.04,36.51,2,Westside,Los Angeles,West,3,Allen Robinson,Manager,Cash,123.0,John Daniel
48,2024-05-24,00:00:00,17,Lettuce,Produce,3.09,4,0,4,0.05,12.36,4,Southcenter,Houston,South,4,Cristian Santos,Sales Associate,Debit Card,311.0,Victoria Garcia
49,2024-01-28,00:00:00,15,Oranges,Produce,39.06,10,5,5,0.12,195.3,2,Westside,Los Angeles,West,10,Lisa Hensley,Stocker,Mobile Payment,367.0,Gerald Hensley
50,2024-03-03,00:00:00,26,Salmon,Seafood,25.54,2,0,2,0.06,51.08,1,Downtown,New York,East,19,Matthew Foster,Cashier,Gift Card,,
51,2024-04-19,00:00:00,6,Eggs,Dairy,12.72,6,0,6,0.13,76.32,3,Northgate,Chicago,Midwest,18,Daniel Hahn,Stocker,Cash,,
52,2024-04-02,00:00:00,63,Shampoo,Personal Care,17.58,8,0,8,0.09,140.64,1,Downtown,New York,East,14,Timothy Wong,Cashier,Gift Card,,
53,2024-05-03,00:00:00,35,Coffee,Beverages,37.35,8,0,8,0.15,298.8,5,Eastville,Miami,Southeast,18,Daniel Hahn,Stocker,Debit Card,126.0,Connor West
54,2024-03-03,00:00:00,12,Pastries,Bakery,6.19,8,0,8,0.13,49.52,3,Northgate,Chicago,Midwest,15,Nicholas Martin,Sales Associate,Debit Card,436.0,Donald Wright
55,2024-02-24,00:00:00,42,Popcorn,Snacks,19.13,6,0,6,0.07,114.78,2,Westside,Los Angeles,West,16,Margaret Hawkins DDS,Sales Associate,Gift Card,,
56,2024-05-12,00:00:00,36,Tea,Beverages,9.82,4,0,4,0.14,39.28,5,Eastville,Miami,Southeast,1,Allison Hill,Cashier,Mobile Payment,124.0,Jessica Callahan
57,2024-01-05,00:00:00,61,Soap,Household,38.86,2,0,2,0.08,77.72,4,Southcenter,Houston,South,15,Nicholas Martin,Sales Associate,Credit Card,298.0,Amber Kidd
58,2024-05-15,00:00:00,48,Beans,Canned Goods,25.69,6,0,6,0.15,154.14,4,Southcenter,Houston,South,18,Daniel Hahn,Stocker,Debit Card,233.0,Tracy House
59,2024-02-29,00:00:00,35,Coffee,Beverages,41.3,2,0,2,0.06,82.6,3,Northgate,Chicago,Midwest,9,Valerie Gray,Cashier,Gift Card,,
60,2024-05-03,00:00:00,24,Lamb,Meat,28.31,5,0,5,0.2,141.55,2,Westside,Los Angeles,West,7,Gabrielle Davis,Cashier,Gift Card,52.0,Carol Tucker
61,2024-04-02,00:00:00,25,Sausages,Meat,26.53,3,0,3,0.14,79.59,3,Northgate,Chicago,Midwest,8,Lindsey Roman,Stocker,Credit Card,499.0,James Brown
62,2024-02-02,00:00:00,7,Bread,Bakery,47.9,8,0,8,0.0,383.2,5,Eastville,Miami,Southeast,10,Lisa Hensley,Stocker,Debit Card,226.0,William Baker
63,2024-03-05,00:00:00,44,Crackers,Snacks,25.71,8,0,8,0.01,205.68,2,Westside,Los Angeles,West,2,Megan Mcclain,Cashier,Mobile Payment,323.0,Jordan Henderson
64,2024-05-24,00:00:00,7,Bread,Bakery,45.5,5,0,5,0.05,227.5,2,Westside,Los Angeles,West,5,Kevin Pacheco,Sales Associate,Gift Card,,
65,2024-04-25,00:00:00,29,Cod,Seafood,10.35,8,0,8,0.12,82.8,5,Eastville,Miami,Southeast,13,Holly Wood,Cashier,Mobile Payment,318.0,Whitney Peters
66,2024-02-23,00:00:00,8,Bagels,Bakery,5.89,4,0,4,0.02,23.56,5,Eastville,Miami,Southeast,4,Cristian Santos,Sales Associate,Credit Card,39.0,Brittney Phillips
67,2024-04-25,00:00:00,21,Beef,Meat,31.83,10,0,10,0.01,318.3,1,Downtown,New York,East,14,Timothy Wong,Cashier,Debit Card,,
68,2024-03-08,00:00:00,59,Toilet Paper,Household,20.96,10,0,10,0.19,209.6,1,Downtown,New York,East,8,Lindsey Roman,Stocker,Mobile Payment,116.0,Lauren Daniels
69,2024-01-19,00:00:00,20,Chicken,Meat,18.45,1,0,1,0.06,18.45,3,Northgate,Chicago,Midwest,5,Kevin Pacheco,Sales Associate,Gift Card,,
70,2024-03-18,00:00:00,57,Desserts,Frozen Foods,42.97,7,0,7,0.1,300.79,1,Downtown,New York,East,15,Nicholas Martin,Sales Associate,Mobile Payment,307.0,Amy Silva
71,2024-03-05,00:00:00,6,Eggs,Dairy,11.84,1,0,1,0.19,11.84,4,Southcenter,Houston,South,11,Amber Perez,Assistant Manager,Gift Card,11.0,Sarah Moore
72,2024-02-14,00:00:00,35,Coffee,Beverages,39.99,8,0,8,0.09,319.92,5,Eastville,Miami,Southeast,2,Megan Mcclain,Cashier,Debit Card,300.0,Angela Lopez
73,2024-04-30,00:00:00,56,Meals,Frozen Foods,8.22,6,0,6,0.06,49.32,4,Southcenter,Houston,South,3,Allen Robinson,Manager,Cash,,
74,2024-03-14,00:00:00,43,Nuts,Snacks,44.38,7,0,7,0.11,310.66,4,Southcenter,Houston,South,16,Margaret Hawkins DDS,Sales Associate,Mobile Payment,130.0,Megan Young
75,2024-05-11,00:00:00,42,Popcorn,Snacks,18.31,1,0,1,0.11,18.31,1,Downtown,New York,East,13,Holly Wood,Cashier,Mobile Payment,266.0,Steve Sanchez
76,2024-04-23,00:00:00,47,Soup,Canned Goods,35.43,1,0,1,0.11,35.43,5,Eastville,Miami,Southeast,16,Margaret Hawkins DDS,Sales Associate,Debit Card,358.0,Lisa Barnes
77,2024-03-02,00:00:00,63,Shampoo,Personal Care,19.32,3,0,3,0.0,57.96,1,Downtown,New York,East,1,Allison Hill,Cashier,Mobile Payment,431.0,Kelly Donovan
78,2024-02-09,00:00:00,15,Oranges,Produce,41.73,8,0,8,0.06,333.84,4,Southcenter,Houston,South,4,Cristian Santos,Sales Associate,Debit Card,248.0,Mike Allen
79,2024-05-21,00:00:00,61,Soap,Household,34.64,3,0,3,0.18,103.92,2,Westside,Los Angeles,West,15,Nicholas Martin,Sales Associate,Gift Card,,
80,2024-04-16,00:00:00,18,Potatoes,Produce,34.99,6,0,6,0.1,209.94,1,Downtown,New York,East,9,Valerie Gray,Cashier,Cash,153.0,Michael Evans
81,2024-05-17,00:00:00,63,Shampoo,Personal Care,17.19,8,0,8,0.11,137.52,2,Westside,Los Angeles,West,15,Nicholas Martin,Sales Associate,Gift Card,478.0,Paul Jones
82,2024-05-26,00:00:00,42,Popcorn,Snacks,17.28,7,0,7,0.16,120.96,2,Westside,Los Angeles,West,8,Lindsey Roman,Stocker,Cash,243.0,Zachary Ferrell
83,2024-05-06,00:00:00,49,Tuna,Canned Goods,15.96,1,0,1,0.19,15.96,4,Southcenter,Houston,South,5,Kevin Pacheco,Sales Associate,Debit Card,,
84,2024-04-26,00:00:00,57,Desserts,Frozen Foods,43.92,1,0,1,0.08,43.92,1,Downtown,New York,East,17,Crystal Johnson,Stocker,Credit Card,401.0,Daniel Baker
85,2024-04-11,00:00:00,34,Juice,Beverages,37.96,2,0,2,0.17,75.92,3,Northgate,Chicago,Midwest,20,Derek Wright,Stocker,Gift Card,163.0,Shirley Suarez
86,2024-01-18,00:00:00,63,Shampoo,Personal Care,15.84,4,0,4,0.18,63.36,5,Eastville,Miami,Southeast,2,Megan Mcclain,Cashier,Credit Card,,
87,2024-04-23,00:00:00,56,Meals,Frozen Foods,7.18,3,0,3,0.18,21.54,1,Downtown,New York,East,4,Cristian Santos,Sales Associate,Cash,29.0,Christopher Bass
88,2024-04-20,00:00:00,38,Beer,Beverages,7.36,3,0,3,0.08,22.08,3,Northgate,Chicago,Midwest,12,David Garcia,Cashier,Credit Card,41.0,Lisa Archer
89,2024-05-07,00:00:00,49,Tuna,Canned Goods,17.93,10,0,10,0.09,179.3,5,Eastville,Miami,Southeast,8,Lindsey Roman,Stocker,Debit Card,342.0,Aimee Montoya
90,2024-05-19,00:00:00,2,Cheese,Dairy,17.46,3,0,3,0.19,52.38,4,Southcenter,Houston,South,10,Lisa Hensley,Stocker,Gift Card,493.0,Matthew Mcmillan
91,2024-03-18,00:00:00,55,Vegetables,Frozen Foods,5.37,4,0,4,0.17,21.48,3,Northgate,Chicago,Midwest,15,Nicholas Martin,Sales Associate,Cash,293.0,Brian Rodriguez
92,2024-03-16,00:00:00,46,Candy,Snacks,7.39,1,0,1,0.13,7.39,5,Eastville,Miami,Southeast,10,Lisa Hensley,Stocker,Debit Card,443.0,Denise Jacobs
93,2024-03-14,00:00:00,7,Bread,Bakery,44.55,4,0,4,0.07,178.2,5,Eastville,Miami,Southeast,16,Margaret Hawkins DDS,Sales Associate,Credit Card,348.0,Christina Walters
94,2024-03-20,00:00:00,18,Potatoes,Produce,33.05,8,6,2,0.15,66.1,1,Downtown,New York,East,2,Megan Mcclain,Cashier,Cash,,
95,2024-02-21,00:00:00,42,Popcorn,Snacks,16.87,3,0,3,0.18,50.61,4,Southcenter,Houston,South,6,Melissa Peterson,Sales Associate,Debit Card,468.0,John Whitehead
96,2024-05-03,00:00:00,35,Coffee,Beverages,40.86,5,0,5,0.07,204.3,2,Westside,Los Angeles,West,9,Valerie Gray,Cashier,Cash,39.0,Anna Henderson
97,2024-05-22,00:00:00,19,Onions,Produce,39.48,6,0,6,0.08,236.88,2,Westside,Los Angeles,West,13,Holly Wood,Cashier,Debit Card,233.0,Aaron Wise
98,2024-04-07,00:00:00,48,Beans,Canned Goods,28.71,6,0,6,0.05,172.26,3,Northgate,Chicago,Midwest,19,Matthew Foster,Cashier,Cash,483.0,Deborah Figueroa
99,2024-01-17,00:00:00,42,Popcorn,Snacks,19.34,8,0,8,0.06,154.72,5,Eastville,Miami,Southeast,8,Lindsey Roman,Stocker,Mobile Payment,24.0,Jessica Smith
100,2024-01-30,00:00:00,5,Cream,Dairy,31.34,2,0,2,0.11,62.68,3,Northgate,Chicago,Midwest,16,Margaret Hawkins DDS,Sales Associate,Mobile Payment,344.0,Stephen Mckee
101,2024-04-16,00:00:00,54,Ice Cream,Frozen Foods,33.26,2,0,2,0.12,66.52,5,Eastville,Miami,Southeast,5,Kevin Pacheco,Sales Associate,Debit Card,190.0,Sandra Aguilar
102,2024-03-01,00:00:00,28,Shrimp,Seafood,12.24,6,0,6,0.14,73.44,4,Southcenter,Houston,South,15,Nicholas Martin,Sales Associate,Gift Card,,
103,2024-03-11,00:00:00,46,Candy,Snacks,6.88,4,0,4,0.19,27.52,1,Downtown,New York,East,13,Holly Wood,Cashier,Mobile Payment,109.0,Cameron Parker
104,2024-03-03,00:00:00,3,Yogurt,Dairy,28.68,3,0,3,0.04,86.04,1,Downtown,New York,East,11,Amber Perez,Assistant Manager,Gift Card,111.0,Rebecca Valencia
105,2024-01-01,00:00:00,30,Crab,Seafood,41.03,5,0,5,0.03,205.15,3,Northgate,Chicago,Midwest,5,Kevin Pacheco,Sales Associate,Credit Card,409.0,Christine Wright
106,2024-02-03,00:00:00,23,Turkey,Meat,9.47,1,0,1,0.16,9.47,1,Downtown,New York,East,1,Allison Hill,Cashier,Gift Card,90.0,Richard Henson
107,2024-04-17,00:00:00,34,Juice,Beverages,45.28,9,0,9,0.01,407.52,1,Downtown,New York,East,5,Kevin Pacheco,Sales Associate,Mobile Payment,,
108,2024-04-25,00:00:00,66,Lotion,Personal Care,14.85,9,0,9,0.12,133.65,5,Eastville,Miami,Southeast,4,Cristian Santos,Sales Associate,Gift Card,330.0,Marc Moore
109,2024-04-12,00:00:00,4,Butter,Dairy,34.36,7,0,7,0.1,240.52,1,Downtown,New York,East,16,Margaret Hawkins DDS,Sales Associate,Mobile Payment,42.0,Sharon Cherry
110,2024-01-17,00:00:00,42,Popcorn,Snacks,17.9,3,0,3,0.13,53.7,5,Eastville,Miami,Southeast,5,Kevin Pacheco,Sales Associate,Gift Card,,
111,2024-03-16,00:00:00,49,Tuna,Canned Goods,17.93,8,0,8,0.09,143.44,5,Eastville,Miami,Southeast,17,Crystal Johnson,Stocker,Cash,,
112,2024-02-28,00:00:00,28,Shrimp,Seafood,12.95,7,0,7,0.09,90.65,4,Southcenter,Houston,South,15,Nicholas Martin,Sales Associate,Mobile Payment,,
113,2024-03-06,00:00:00,41,Pretzels,Snacks,18.91,6,0,6,0.14,113.46,4,Southcenter,Houston,South,11,Amber Perez,Assistant Manager,Mobile Payment,426.0,Sierra Johnson
114,2024-01-25,00:00:00,11,Cake,Bakery,32.72,6,0,6,0.11,196.32,1,Downtown,New York,East,14,Timothy Wong,Cashier,Gift Card,,
115,2024-03-31,00:00:00,43,Nuts,Snacks,42.89,7,0,7,0.14,300.23,1,Downtown,New York,East,14,Timothy Wong,Cashier,Debit Card,181.0,Evelyn Galvan
116,2024-02-24,00:00:00,14,Bananas,Produce,39.97,3,0,3,0.04,119.91,5,Eastville,Miami,Southeast,17,Crystal Johnson,Stocker,Cash,285.0,Sharon Cochran
117,2024-05-26,00:00:00,48,Beans,Canned Goods,25.08,4,0,4,0.17,100.32,1,Downtown,New York,East,9,Valerie Gray,Cashier,Gift Card,330.0,Richard Rodriguez
118,2024-01-08,00:00:00,4,Butter,Dairy,32.45,3,0,3,0.15,97.35,5,Eastville,Miami,Southeast,9,Valerie Gray,Cashier,Debit Card,93.0,Shannon Walker
119,2024-01-18,00:00:00,19,Onions,Produce,34.76,3,0,3,0.19,104.28,5,Eastville,Miami,Southeast,13,Holly Wood,Cashier,Cash,,
120,2024-04-26,00:00:00,28,Shrimp,Seafood,13.38,6,0,6,0.06,80.28,4,Southcenter,Houston,South,14,Timothy Wong,Cashier,Debit Card,,
121,2024-02-10,00:00:00,11,Cake,Bakery,34.92,10,2,8,0.05,279.36,1,Downtown,New York,East,5,Kevin Pacheco,Sales Associate,Mobile Payment,227.0,Julia Torres
122,2024-05-11,00:00:00,54,Ice Cream,Frozen Foods,37.03,2,0,2,0.02,74.06,3,Northgate,Chicago,Midwest,7,Gabrielle Davis,Cashier,Gift Card,342.0,Crystal Johnson
123,2024-04-11,00:00:00,40,Chips,Snacks,26.31,10,0,10,0.04,263.1,1,Downtown,New York,East,8,Lindsey Roman,Stocker,Credit Card,,
124,2024-01-31,00:00:00,33,Soda,Beverages,12.85,1,0,1,0.09,12.85,3,Northgate,Chicago,Midwest,11,Amber Perez,Assistant Manager,Credit Card,361.0,Garrett Lin
125,2024-03-31,00:00:00,30,Crab,Seafood,35.95,2,0,2,0.15,71.9,5,Eastville,Miami,Southeast,18,Daniel Hahn,Stocker,Mobile Payment,472.0,Diana May
126,2024-04-19,00:00:00,10,Cookies,Bakery,26.6,10,0,10,0.13,266.0,3,Northgate,Chicago,Midwest,19,Matthew Foster,Cashier,Debit Card,11.0,William Herrera
127,2024-04-27,00:00:00,42,Popcorn,Snacks,17.07,6,0,6,0.17,102.42,2,Westside,Los Angeles,West,20,Derek Wright,Stocker,Credit Card,206.0,Ashley Waller
128,2024-03-27,00:00:00,11,Cake,Bakery,35.66,4,0,4,0.03,142.64,4,Southcenter,Houston,South,10,Lisa Hensley,Stocker,Gift Card,272.0,Victor Baker
129,2024-03-30,00:00:00,66,Lotion,Personal Care,16.37,3,0,3,0.03,49.11,2,Westside,Los Angeles,West,12,David Garcia,Cashier,Credit Card,79.0,Jeffrey Chandler
130,2024-04-28,00:00:00,10,Cookies,Bakery,27.83,10,0,10,0.09,278.3,2,Westside,Los Angeles,West,16,Margaret Hawkins DDS,Sales Associate,Gift Card,320.0,Larry Dixon
131,2024-04-22,00:00:00,42,Popcorn,Snacks,17.9,2,0,2,0.13,35.8,3,Northgate,Chicago,Midwest,5,Kevin Pacheco,Sales Associate,Debit Card,181.0,Kenneth Scott
132,2024-04-28,00:00:00,65,Deodorant,Personal Care,38.19,8,6,2,0.17,76.38,1,Downtown,New York,East,10,Lisa Hensley,Stocker,Cash,438.0,April Frost
133,2024-05-09,00:00:00,12,Pastries,Bakery,6.34,7,0,7,0.11,44.38,5,Eastville,Miami,Southeast,20,Derek Wright,Stocker,Cash,415.0,Michelle Harmon
134,2024-05-01,00:00:00,25,Sausages,Meat,30.54,9,0,9,0.01,274.86,3,Northgate,Chicago,Midwest,20,Derek Wright,Stocker,Cash,,
135,2024-02-14,00:00:00,44,Crackers,Snacks,23.63,1,0,1,0.09,23.63,1,Downtown,New York,East,17,Crystal Johnson,Stocker,Mobile Payment,313.0,Helen Jones
136,2024-03-13,00:00:00,21,Beef,Meat,29.9,7,0,7,0.07,209.3,3,Northgate,Chicago,Midwest,12,David Garcia,Cashier,Gift Card,324.0,Erin Edwards
137,2024-01-25,00:00:00,43,Nuts,Snacks,46.88,9,0,9,0.06,421.92,1,Downtown,New York,East,11,Amber Perez,Assistant Manager,Gift Card,,
138,2024-02-06,00:00:00,43,Nuts,Snacks,43.39,6,0,6,0.13,260.34,1,Downtown,New York,East,19,Matthew Foster,Cashier,Mobile Payment,363.0,Michelle Evans
139,2024-04-06,00:00:00,11,Cake,Bakery,31.98,6,0,6,0.13,191.88,3,Northgate,Chicago,Midwest,18,Daniel Hahn,Stocker,Gift Card,344.0,Jason Powell
140,2024-01-05,00:00:00,55,Vegetables,Frozen Foods,5.24,6,0,6,0.19,31.44,5,Eastville,Miami,Southeast,12,David Garcia,Cashier,Debit Card,,
141,2024-02-05,00:00:00,63,Shampoo,Personal Care,16.04,3,0,3,0.17,48.12,2,Westside,Los Angeles,West,8,Lindsey Roman,Stocker,Cash,277.0,Cameron Fisher
142,2024-02-03,00:00:00,5,Cream,Dairy,34.15,10,0,10,0.03,341.5,3,Northgate,Chicago,Midwest,20,Derek Wright,Stocker,Gift Card,,
143,2024-04-15,00:00:00,22,Pork,Meat,8.52,6,0,6,0.05,51.12,4,Southcenter,Houston,South,2,Megan Mcclain,Cashier,Mobile Payment,386.0,Megan Orr
144,2024-03-02,00:00:00,58,Paper Towels,Household,40.84,5,0,5,0.16,204.2,2,Westside,Los Angeles,West,18,Daniel Hahn,Stocker,Credit Card,485.0,Elizabeth Kelley
145,2024-04-07,00:00:00,57,Desserts,Frozen Foods,38.67,9,0,9,0.19,348.03,4,Southcenter,Houston,South,10,Lisa Hensley,Stocker,Credit Card,,
146,2024-05-03,00:00:00,18,Potatoes,Produce,38.1,6,0,6,0.02,228.6,3,Northgate,Chicago,Midwest,2,Megan Mcclain,Cashier,Gift Card,,
147,2024-03-10,00:00:00,37,Energy Drinks,Beverages,19.78,8,0,8,0.03,158.24,1,Downtown,New York,East,6,Melissa Peterson,Sales Associate,Mobile Payment,467.0,Dustin Jordan
148,2024-01-07,00:00:00,29,Cod,Seafood,10.58,7,0,7,0.1,74.06,4,Southcenter,Houston,South,12,David Garcia,Cashier,Credit Card,42.0,Mary Marshall
149,2024-03-22,00:00:00,48,Beans,Canned Goods,26.29,2,0,2,0.13,52.58,2,Westside,Los Angeles,West,1,Allison Hill,Cashier,Credit Card,147.0,Daniel Kennedy
150,2024-04-24,00:00:00,61,Soap,Household,42.24,10,2,8,0.0,337.92,2,Westside,Los Angeles,West,16,Margaret Hawkins DDS,Sales Associate,Credit Card,,
